0;NACECode;UnitOp;ProductCode;Product;E_EnergyInt_MIN-PC;E_EnergyInt_MAX-PC;E_EnergyInt_TARG-PC;E_EnergyInt_MIN-T;E_EnergyInt_MAX-T;E_EnergyInt_TARG-T;E_SEC min;E_SEC max;E_SEC_TARG;E_Unit;H_EnergyInt_MIN-PC;H_EnergyInt_MAX-PC;H_EnergyInt_TARG-PC;H_EnergyInt_MIN-T;H_EnergyInt_MAX-T;H_EnergyInt_TARG-T;H_SEC min;H_SEC max;H_SEC_TARG;H_Unit;T_EnergyInt_MIN-PC;T_EnergyInt_MAX-PC;T_EnergyInt_TARG-PC;T_EnergyInt_MIN-T;T_EnergyInt_MAX-T;T_EnergyInt_TARG-T;T_SEC min;T_SEC max;T_SEC_TARG;T_Unit;Comments;YearReference;References;Literature;DataRelevance;TurnoverMin;TurnoverMax;ProductionMin;ProductionMax;ProductionUnit
16;DA15.3;401;DA020;Tomatoes;;;;;;;4;5;4;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
17;DA15.3;501;DA020;Tomatoes;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
18;DA15.3;301;DA020;Tomatoes;;;;;;;7;8;7;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
19;DA15.3;1701;DA020;Tomatoes;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
20;DA15.3;304;DA020;Tomatoes;;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;kWh/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
21;DA15.3;1703;DA020;Tomatoes;;;;;;;;;;;;;;;;;200;300;200;;;;;;;;;;;kg steam/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
22;DA15.3;1802;DA020;Tomatoes;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;kg steam/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
23;DA15.3;401;DA020;Tomatoes;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;kg steam/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
24;DA15.3;501;DA020;Tomatoes;;;;;;;;;;;;;;;;;450;500;450;;;;;;;;;;;kg steam/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
25;DA15.3;301;DA020;Tomatoes;;;;;;;;;;;;;;;;;120;200;120;;;;;;;;;;;kg steam/t;;2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
