Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
0421;ElTariffClassPeak;Tariff type / class (peak);;;;;;;
0422;ElTariffClassTotVall;Tariff type / class (valley);;;;;;;
0423;ElTariffClassCHP;Tariff type / class (CHP);;;;;;;
0424;ElTariffPowTot;Tariff on installed power (total);?/kWmonth;;;;;;
0425;ElTariffPowStd;Tariff on installed power (standard);?/kWmonth;;;;;;
0426;ElTariffPowPeak;Tariff on installed power (peak);?/kWmonth;;;;;;
0427;ElTariffPowVall;Tariff on installed power (valley);?/kWmonth;;;;;;
0428;ElTariffPowCHP;Tariff on installed power (CHP);?/kWmonth;;;;;;
0429;ElTariffCTot;Tariff on consumption (total);?/MWh;;;;;;
0430;ElTariffCStd;Tariff on consumption (standard);?/MWh;;;;;;
0431;ElTariffCPeak;Tariff on consumption (peak);?/MWh;;;;0;24;
0432;ElTariffCVall;Tariff on consumption (valley);?/MWh;;;;0;365;
0433;ETariffCHP;Tariff sales of CHP(without feedin-tariff);?/MWh;;;;;;
0434;ElCostYearTot;Annual electricity cost total;?/year;;;;;;
0435;ElCostYearStd;Annual electricity cost standard;?/year;;;;;;
0436;ElCostYearPeak;Annual electricity cost peak;?/year;;;;;;
0437;ElCostYearVall;Annual electricity cost valley;?/year;;;;;;
0438;ElSalesYearCHP;Annual electricity sales CHP;?/year;;;;;;
0439;PercentElTotcost;Percentage of electricity cost on overall production cost;%;;;;;;
0440;PercentFuelTotcost;Percentage of fuel cost on overall production cost;%;;;;;;
0441;EnclMonthlyFuelBills;Enclosing monthly fuel bills?;;;;;;;
0442;EnclMonthlyElBills;Enclosing monthly electricity bills?;;;;;;;
0443;ElProd;Electricity consumption per product;MWh / year ;;;;;;
0444;FuelProd;Fuel consumption per product;MWh / year (LCV);;;;;;
C400;PETOTAL;Total primary energy consumption;MWh / year;;;;;;
C401;PETOTAL_EXT;Total primary energy consumption extrapolated to growth of production volume;MWh / year;;;;;;
C402;PE_INT;Primary energy intensity (turnover);kWh/?;;;;;;
C403;PE_SEC;Specific energy consumption (primary energy);kWh/up;;;;;;
C404;EL_OWN;Total own electricity consumption;MWh / year;;;;;;
C405;EL_OWN_EXT;Total own electricity consumption extrapolated to growth of production volume;MWh / year;;;;;;
C406;EL_INT;Intensity of electricity consumption on turnover;kWh/?;;;;;;
C407;EL_SEC;Specific energy consumption (electricity);kWh/up;;;;;;
C408;FUEL_OWN_EXT;Total own fuel consumption extrapolated to growth of production volume;MWh / year;;;;;;
C409;FUEL_INT;Intensity of fuel consumption (LCV) on turnover;kWh/?;;;;;;
C410;FUEL_SEC;Specific energy consumption (fuel);kWh/up;;;;;;
C411;FECi;Final energy consumption per fuels (No. 7 = electricity for thermal uses);MWh / year;;;;;;
C412;FEC;Final energy consumptioin total (for the analysed industry);;;;;;;
C413;FETi;total FET per fuel type (for energyStatistics);;;;;;;
C414;FuelCode;Fuel code;-;;;;0;365;
C415;NFuels;Number of fuels;-;;;;;;
C416;ELECTRICITY_Type;Electricity by type of use;-;;;;;;
C417;ElecticityThermUse;Electricity for thermal use (total industry);;;;;;;
C418;ElectricityNonThermUse;Electricity for non thermal use (total industry);;;;;;;
C419;PEConvFuelMix;Conversion to primary energy of fuel mix;kWhEP/kWhLCV;;;;;;
C420;CO2ConvFuelMix;Specific CO2 emission of fuel mix;t-CO2/kWhLCV;;;;;;
C421;PEConvFuelCHP;Conversion to primary energy of fuel mix;kWhEP/kWhLCV;;;;;;
